Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
03TK001.VOLN,CP03,1,1,SUNCOR,BBL
03TK002.VOLN,CP03,2,2,SUNCOR,BBL
03TK003.VOLN,CP03,3,3,SUNCOR,BBL
03TK004.VOLN,CP03,4,4,SUNCOR,BBL
03TK005.VOLN,CP03,5,5,SUNCOR,BBL
03TK006.VOLN,CP03,6,6,SUNCOR,BBL
03TK007.VOLN,CP03,7,7,SUNCOR,BBL
03TK008.VOLN,CP03,8,8,SUNCOR,BBL
03TK009.VOLN,CP03,9,9,SUNCOR,BBL
03TK010.VOLN,CP03,10,10,SUNCOR,BBL
03TK011.VOLN,CP03,11,11,SUNCOR,BBL
03TK012.VOLN,CP03,12,12,SUNCOR,BBL
03TK013.VOLN,CP03,13,13,SUNCOR,BBL
03TK014.VOLN,CP03,14,14,SUNCOR,BBL
03TK015.VOLN,CP03,15,15,SUNCOR,BBL
03TK016.VOLN,CP03,16,16,SUNCOR,BBL
03TK017.VOLN,CP03,17,17,SUNCOR,BBL
03TK018.VOLN,CP03,18,18,SUNCOR,BBL
03TK019.VOLN,CP03,19,19,SUNCOR,BBL
03TK020.VOLN,CP03,20,20,SUNCOR,BBL
03TK021.VOLN,CP03,21,21,SUNCOR,BBL
03TK022.VOLN,CP03,22,22,SUNCOR,BBL
03TK023.VOLN,CP03,23,23,SUNCOR,BBL
03TK025.VOLN,CP03,24,24,SUNCOR,BBL
03TK027.VOLN,CP03,25,25,SUNCOR,BBL
03TK028.VOLN,CP03,26,26,SUNCOR,BBL
03TK029.VOLN,CP03,27,27,SUNCOR,BBL
03TK031.VOLN,CP03,28,28,SUNCOR,BBL
03TK032.VOLN,CP03,29,29,SUNCOR,BBL
03TK033.VOLN,CP03,30,30,SUNCOR,BBL
03TK034.VOLN,CP03,31,31,SUNCOR,BBL
03TK038.VOLN,CP03,32,32,SUNCOR,BBL
03TK039.VOLN,CP03,33,33,SUNCOR,BBL
03TK040.VOLN,CP03,34,34,SUNCOR,BBL
03TK041.VOLN,CP03,35,35,SUNCOR,BBL
03TK042.VOLN,CP03,36,36,SUNCOR,BBL
03TK043.VOLN,CP03,37,37,SUNCOR,BBL
03TK044.VOLN,CP03,38,38,SUNCOR,BBL
03TK049.VOLN,CP03,39,39,SUNCOR,BBL
03TK050.VOLN,CP03,40,40,SUNCOR,BBL
03TK051.VOLN,CP03,41,41,SUNCOR,BBL
03TK054.VOLN,CP03,42,42,SUNCOR,BBL
03TK055.VOLN,CP03,43,43,SUNCOR,BBL
03TK058.VOLN,CP03,44,44,SUNCOR,BBL
03TK070.VOLN,CP03,45,45,SUNCOR,BBL
03TK071.VOLN,CP03,46,46,SUNCOR,BBL
03TK072.VOLN,CP03,47,47,SUNCOR,BBL
03TK073.VOLN,CP03,48,48,SUNCOR,BBL
03TK074.VOLN,CP03,49,49,SUNCOR,BBL
03TK075.VOLN,CP03,50,50,SUNCOR,BBL
03TK076.VOLN,CP03,51,51,SUNCOR,BBL
03TK078.VOLN,CP03,52,52,SUNCOR,BBL
03TK079.VOLN,CP03,53,53,SUNCOR,BBL
03TK080.VOLN,CP03,54,54,SUNCOR,BBL
03TK082.VOLN,CP03,55,55,SUNCOR,BBL
03TK086.VOLN,CP03,56,56,SUNCOR,BBL
03TK127.VOLN,CP03,57,57,SUNCOR,BBL
03TK128.VOLN,CP03,58,58,SUNCOR,BBL
03TK129.VOLN,CP03,59,59,SUNCOR,BBL
03TK130.VOLN,CP03,60,60,SUNCOR,BBL
03TK131.VOLN,CP03,61,61,SUNCOR,BBL
YT.03TKVOLMAN2.CV,CP03,62,62,SUNCOR,BBL
YT.08WL003.VOLN,CP03,63,63,SUNCOR,BBL
YT.08WL004.VOLN,CP03,64,64,SUNCOR,BBL
YT.08WL005.VOLN,CP03,65,65,SUNCOR,BBL
YT.08WL007.VOLN,CP03,66,66,SUNCOR,BBL
YT.08WL008.VOLN,CP03,67,67,SUNCOR,BBL
YT.08WL009.VOLN,CP03,68,68,SUNCOR,BBL
YT.08WL010.VOLN,CP03,69,69,SUNCOR,BBL
YT.08WL013.VOLN,CP03,70,70,SUNCOR,BBL
YT.08WL014.VOLN,CP03,71,71,SUNCOR,BBL
