Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
B100,CP04,1,1,SUNCOR,BBL
B806,CP04,2,2,SUNCOR,BBL
C5C6,CP04,3,3,SUNCOR,BBL
COKF,CP04,4,4,SUNCOR,BBL
D50,CP04,5,5,SUNCOR,BBL
DII,CP04,6,6,SUNCOR,BBL
EDDF,CP04,7,7,SUNCOR,BBL
FBUT,CP04,8,8,SUNCOR,BBL
FCCF,CP04,9,9,SUNCOR,BBL
HIOCT,CP04,10,10,SUNCOR,BBL
HIT4142C,CP04,11,11,SUNCOR,BBL
IBUT,CP04,12,12,SUNCOR,BBL
JETA,CP04,13,13,SUNCOR,BBL
MAINT,CP04,14,14,SUNCOR,BBL
MGO,CP04,15,15,SUNCOR,BBL
NACE,CP04,16,16,SUNCOR,BBL
NBUT,CP04,17,17,SUNCOR,BBL
PROP,CP04,18,18,SUNCOR,BBL
RBOB,CP04,19,19,SUNCOR,BBL
REFF,CP04,20,20,SUNCOR,BBL
RGUA,CP04,21,21,SUNCOR,BBL
RGUB,CP04,22,22,SUNCOR,BBL
RGUM,CP04,23,23,SUNCOR,BBL
RSLOP,CP04,24,24,SUNCOR,BBL
SBOB,CP04,25,25,SUNCOR,BBL
SPARE,CP04,26,26,SUNCOR,BBL
SUPB,CP04,27,27,SUNCOR,BBL
SYNC,CP04,28,28,SUNCOR,BBL
TK101,CP04,29,29,SUNCOR,BBL
TK102,CP04,30,30,SUNCOR,BBL
TK104,CP04,31,31,SUNCOR,BBL
TK105,CP04,32,32,SUNCOR,BBL
TK111,CP04,33,33,SUNCOR,BBL
TK113,CP04,34,34,SUNCOR,BBL
TK114,CP04,35,35,SUNCOR,BBL
TK116,CP04,36,36,SUNCOR,BBL
TK118,CP04,37,37,SUNCOR,BBL
TK1501,CP04,38,38,SUNCOR,BBL
TK208,CP04,39,39,SUNCOR,BBL
TK209,CP04,40,40,SUNCOR,BBL
TK214,CP04,41,41,SUNCOR,BBL
TK215,CP04,42,42,SUNCOR,BBL
TK2501,CP04,43,43,SUNCOR,BBL
TK2502,CP04,44,44,SUNCOR,BBL
TK2503,CP04,45,45,SUNCOR,BBL
TK2504,CP04,46,46,SUNCOR,BBL
TK2505,CP04,47,47,SUNCOR,BBL
TK2506,CP04,48,48,SUNCOR,BBL
TK2507,CP04,49,49,SUNCOR,BBL
TK2508,CP04,50,50,SUNCOR,BBL
TK275,CP04,51,51,SUNCOR,BBL
TK276,CP04,52,52,SUNCOR,BBL
TK277,CP04,53,53,SUNCOR,BBL
TK282,CP04,54,54,SUNCOR,BBL
TK283,CP04,55,55,SUNCOR,BBL
TK284,CP04,56,56,SUNCOR,BBL
TK293,CP04,57,57,SUNCOR,BBL
TK300,CP04,58,58,SUNCOR,BBL
TK301,CP04,59,59,SUNCOR,BBL
TK302,CP04,60,60,SUNCOR,BBL
TK303,CP04,61,61,SUNCOR,BBL
TK310,CP04,62,62,SUNCOR,BBL
TK311,CP04,63,63,SUNCOR,BBL
TK312,CP04,64,64,SUNCOR,BBL
TK313,CP04,65,65,SUNCOR,BBL
TK314,CP04,66,66,SUNCOR,BBL
TK315,CP04,67,67,SUNCOR,BBL
TK316,CP04,68,68,SUNCOR,BBL
TK320,CP04,69,69,SUNCOR,BBL
TK321,CP04,70,70,SUNCOR,BBL
TK322,CP04,71,71,SUNCOR,BBL
TK323,CP04,72,72,SUNCOR,BBL
TK324,CP04,73,73,SUNCOR,BBL
TK325,CP04,74,74,SUNCOR,BBL
TK326,CP04,75,75,SUNCOR,BBL
TK327,CP04,76,76,SUNCOR,BBL
TK401,CP04,77,77,SUNCOR,BBL
TK402,CP04,78,78,SUNCOR,BBL
TK403,CP04,79,79,SUNCOR,BBL
TK404,CP04,80,80,SUNCOR,BBL
TK405,CP04,81,81,SUNCOR,BBL
TK406,CP04,82,82,SUNCOR,BBL
TK407,CP04,83,83,SUNCOR,BBL
TK409,CP04,84,84,SUNCOR,BBL
TK410,CP04,85,85,SUNCOR,BBL
TK411,CP04,86,86,SUNCOR,BBL
TK412,CP04,87,87,SUNCOR,BBL
TK413,CP04,88,88,SUNCOR,BBL
TK414,CP04,89,89,SUNCOR,BBL
TK501,CP04,90,90,SUNCOR,BBL
TK502,CP04,91,91,SUNCOR,BBL
TK504,CP04,92,92,SUNCOR,BBL
ULSD,CP04,93,93,SUNCOR,BBL
