StartTime,EndTime,FlowID,FlowMeter,FlowType,RecShipID,InService,MeasMass,MeasLiqVol,MeasGasVol,MeasGasLiqVol,RecMass,RecLiqVol,RecGasVol,RecGasLiqVol,ProductDensity,ProductMolecularWeight,LiquidDensity,GasMolecularWeight,Product,ProductDesc,ProductCategory,ProductFamily,ProductGroup,ProductSortIndex,TrackingGroup,PhysicalState,IsCharge,RecShipSrc,RecShipDest,SourceCC,DestinationCC,FlowCC,TankOpenVol,TankOpenMass,TankCloseVol,TankCloseMass,TankStatus,TankDensity,TankCloseRecMass,TankCloseRecVol,OpenFlag,CloseFlag
1/11/2021 0:00,1/11/2021 23:59,TT_011121_0027,TT_011121_0027,R,R_SourCrude_PL,IS,11555371.74,36060,0,0,11376881.2,35502.9977,0,0,23.60000038,,23.12,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
1/12/2021 0:00,1/12/2021 23:59,TT_011221_0030,TT_011221_0030,R,R_SourCrude_PL,IS,11738466.1,36629,0,0,11437667.86,35690.38174,0,0,23.60000038,,23.11,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
1/13/2021 0:00,1/13/2021 23:59,TT_011321_0026,TT_011321_0026,R,R_SourCrude_PL,IS,10604758.86,33147,0,0,10344271.93,32332.80323,0,0,23.60000038,,23.37,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
1/14/2021 0:00,1/14/2021 23:59,TT_011421_0033,TT_011421_0033,R,R_SourCrude_PL,IS,11056872.11,34549,0,0,10742261.27,33565.94715,0,0,23.60000038,,23.32,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/1/2020 0:00,12/1/2020 23:59,TT_120120_0031,TT_120120_0031,R,R_SourCrude_PL,IS,8970103.28,28072,0,0,8841925.995,27670.86831,0,0,23.60000038,,23.56,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/2/2020 0:00,12/2/2020 23:59,TT_120220_0025,TT_120220_0025,R,R_SourCrude_PL,IS,8883508.168,27801,0,0,8796889.623,27529.92667,0,0,23.60000038,,23.56,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/3/2020 0:00,12/3/2020 23:59,TT_120320_0026,TT_120320_0026,R,R_SourCrude_PL,IS,9025590.565,28191,0,0,8824250.907,27562.12522,0,0,23.60000038,,23.26,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/4/2020 0:00,12/4/2020 23:59,TT_120420_0028,TT_120420_0028,R,R_SourCrude_PL,IS,9031426.328,28191,0,0,8846386.861,27613.41154,0,0,23.60000038,,23.16,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/5/2020 0:00,12/5/2020 23:59,TT_120520_0029,TT_120520_0029,R,R_SourCrude_PL,IS,10148799.63,31687,0,0,9971857.332,31134.54349,0,0,23.60000038,,23.2,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/6/2020 0:00,12/6/2020 23:59,TT_120620_0024,TT_120620_0024,R,R_SourCrude_PL,IS,9403188.409,29378,0,0,9249966.668,28899.29553,0,0,23.60000038,,23.3,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
