Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
AP03_MKB - Mackay Bitumen,AP03,PRO1AP03,10015,SUNCOR,M15
Mackay River_Crude Oil - OSA,AP03,PRO1AP03,10016,SUNCOR,M15
