Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
BCNRL,CP03,PRODCP03,10029,SUNCOR,M15
BSUNOSP,CP03,PRODCP03,10025,SUNCOR,M15
DIESEL,CP03,PRODCP03,10027,SUNCOR,M15
RBOB,CP03,PRODCP03,10029,SUNCOR,M15
