site,tag,alias,datetime,value,avgvalue,strvalue,quality
edphd,TK117.MATERIAL,Tank 117 Product code,2021-04-16T00:00:00.000Z,"""""","""""",B806,0
edphd,TK117.MATERIAL,Tank 117 Product code,2021-04-17T00:00:00.000Z,"""""","""""",B806,0
edphd,TK117.VOLUME,Tank 117 Volume,2021-04-16T00:00:00.000Z,2764.199219,2764.199219,"""""",0
edphd,TK117.VOLUME,Tank 117 Volume,2021-04-17T00:00:00.000Z,2765.493164,2764.672613,"""""",0
edphd,TK118.MATERIAL,Tank 118 Product code,2021-04-16T00:00:00.000Z,"""""","""""",B806,0
edphd,TK118.MATERIAL,Tank 118 Product code,2021-04-17T00:00:00.000Z,"""""","""""",B806,0
edphd,TK118.VOLUME,Tank 118 Volume,2021-04-16T00:00:00.000Z,3010.520752,3010.520752,"""""",0
edphd,TK118.VOLUME,Tank 118 Volume,2021-04-17T00:00:00.000Z,3011.87793,3011.365767,"""""",0
edphd,TK208.MATERIAL,Tank 208 Product code,2021-04-16T00:00:00.000Z,"""""","""""",DII,0
edphd,TK208.MATERIAL,Tank 208 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DII,0
edphd,TK208.VOLUME,Tank 208 Volume,2021-04-16T00:00:00.000Z,851.2070923,851.2070923,"""""",0
edphd,TK208.VOLUME,Tank 208 Volume,2021-04-17T00:00:00.000Z,848.0010986,849.2313643,"""""",0
edphd,TK209.MATERIAL,Tank 209 Product code,2021-04-16T00:00:00.000Z,"""""","""""",NACE,0
edphd,TK209.MATERIAL,Tank 209 Product code,2021-04-17T00:00:00.000Z,"""""","""""",NACE,0
edphd,TK209.VOLUME,Tank 209 Volume,2021-04-16T00:00:00.000Z,73.03013611,73.03013611,"""""",0
edphd,TK209.VOLUME,Tank 209 Volume,2021-04-17T00:00:00.000Z,72.81839752,72.90851744,"""""",0
edphd,TK210.MATERIAL,Tank 210 Product code,2021-04-16T00:00:00.000Z,"""""","""""",SPARE,0
edphd,TK210.MATERIAL,Tank 210 Product code,2021-04-17T00:00:00.000Z,"""""","""""",SPARE,0
edphd,TK210.VOLUME,Tank 210 Volume,2021-04-16T00:00:00.000Z,0,0,"""""",0
edphd,TK210.VOLUME,Tank 210 Volume,2021-04-17T00:00:00.000Z,0,0,"""""",0
edphd,TK211.MATERIAL,Tank 211 Product code,2021-04-16T00:00:00.000Z,"""""","""""","""""",0
edphd,TK211.MATERIAL,Tank 211 Product code,2021-04-17T00:00:00.000Z,"""""","""""","""""",0
edphd,TK211.VOLUME,Tank 211 Volume,2021-04-16T00:00:00.000Z,0,0,"""""",0
edphd,TK211.VOLUME,Tank 211 Volume,2021-04-17T00:00:00.000Z,0,0,"""""",0
edphd,TK212.MATERIAL,Tank 212 Product code,2021-04-16T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK212.MATERIAL,Tank 212 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK212.VOLUME,Tank 212 Volume,2021-04-16T00:00:00.000Z,8.255362511,8.255362511,"""""",0
edphd,TK212.VOLUME,Tank 212 Volume,2021-04-17T00:00:00.000Z,8.255362511,8.255362511,"""""",0
edphd,TK213.MATERIAL,Tank 213 Product code,2021-04-16T00:00:00.000Z,"""""","""""","""""",0
edphd,TK213.MATERIAL,Tank 213 Product code,2021-04-17T00:00:00.000Z,"""""","""""","""""",0
