Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
OIL-STORAGE-CORR-LD,EP01,PRODEP01,10326,SUNCOR,L15
OIL3,EP01,PRODEP01,11241,SUNCOR,L15
OIL4,EP01,PRODEP01,11221,SUNCOR,L15
