Material,StandardUnit,ToUnit,Factor
1000042871,EA,EA,1
1000042872,EA,EA,1
1000042874,EA,EA,1
1000042875,EA,EA,1
1000042876,EA,EA,1
1000042877,EA,EA,1
1000042878,EA,EA,1
1000042879,EA,EA,1
1000042880,EA,EA,1
1000042881,EA,EA,1
1000042882,EA,EA,1
1000042883,EA,EA,1
1000042884,EA,EA,1
1000042885,EA,EA,1
1000042886,EA,EA,1
1000042887,EA,EA,1
1000042888,EA,EA,1
1000042889,EA,EA,1
1000042890,EA,EA,1
1000042891,EA,EA,1
1000042892,EA,EA,1
1000042893,EA,EA,1
1000042894,EA,EA,1
1000042895,EA,EA,1
1000042896,EA,EA,1
1000042897,EA,EA,1
1000042898,EA,EA,1
1000042902,EA,EA,1
1000042903,EA,EA,1
1000042904,EA,EA,1
1000042905,EA,EA,1
1000042906,EA,EA,1
1000042907,EA,EA,1
1000042908,EA,EA,1
1000042909,EA,EA,1
1000042910,EA,EA,1
1000042911,EA,EA,1
1000042912,EA,EA,1
1000042913,EA,EA,1
1000042914,EA,EA,1
1000042915,EA,EA,1
1000042917,EA,EA,1
1000042918,EA,EA,1
1000042919,EA,EA,1
1000042920,EA,EA,1
1000042921,EA,EA,1
1000042922,EA,EA,1
1000042923,EA,EA,1
1000042924,EA,EA,1
1000042925,EA,EA,1
1000042926,EA,EA,1
1000042927,EA,EA,1
1000042928,EA,EA,1
1000042929,EA,EA,1
1000042930,EA,EA,1
1000042931,EA,EA,1
1000042932,EA,EA,1
1000042933,EA,EA,1
1000042934,EA,EA,1
1000042935,EA,EA,1
1000042936,EA,EA,1
1000042937,EA,EA,1
1000042938,EA,EA,1
1000042939,EA,EA,1
1000042940,EA,EA,1
1000042941,EA,EA,1
1000042942,EA,EA,1
1000042943,EA,EA,1
1000042944,EA,EA,1
1000042945,EA,EA,1
1000042946,EA,EA,1
1000042947,EA,EA,1
1000042948,EA,EA,1
1000042949,EA,EA,1
1000042950,EA,EA,1
1000042951,EA,EA,1
1000042953,EA,EA,1
1000042954,EA,EA,1
1000042955,EA,EA,1
1000042956,EA,EA,1
1000042957,EA,EA,1
1000042958,EA,EA,1
1000042959,EA,EA,1
1000042960,EA,EA,1
1000042961,EA,EA,1
1000042962,EA,EA,1
1000042963,EA,EA,1
1000042964,EA,EA,1
1000042965,EA,EA,1
1000042966,EA,EA,1
1000042967,EA,EA,1
1000042968,EA,EA,1
1000042969,EA,EA,1
1000042970,EA,EA,1
1000042971,EA,EA,1
1000042972,EA,EA,1
1000042973,EA,EA,1
1000042974,EA,EA,1
1000042975,EA,EA,1
1000042976,EA,EA,1
1000042977,EA,EA,1
1000042978,EA,EA,1
1000042979,EA,EA,1
1000042980,EA,EA,1
1000042981,EA,EA,1
1000042982,EA,EA,1
1000042983,EA,EA,1
1000042984,EA,EA,1
1000042985,EA,EA,1
1000042986,EA,EA,1
1000042987,EA,EA,1
1000042988,EA,EA,1
1000042989,EA,EA,1
1000042991,EA,EA,1
1000042992,EA,EA,1
1000042993,EA,EA,1
1000042994,EA,EA,1
1000042995,EA,EA,1
1000042996,EA,EA,1
1000042997,EA,EA,1
1000042998,EA,EA,1
1000042999,EA,EA,1
1000043000,EA,EA,1
1000043001,EA,EA,1
1000043002,EA,EA,1
1000043003,EA,EA,1
1000043005,EA,EA,1
1000043006,EA,EA,1
1000043007,EA,EA,1
1000043008,EA,EA,1
1000043009,EA,EA,1
1000043010,EA,EA,1
1000043011,EA,EA,1
1000043012,EA,EA,1
1000043013,CM,CM,1
1000043014,EA,EA,1
1000043016,EA,EA,1
1000043017,EA,EA,1
1000043018,EA,EA,1
1000043019,EA,EA,1
1000043020,EA,EA,1
1000043022,EA,EA,1
1000043024,EA,EA,1
1000043025,EA,EA,1
1000043026,EA,EA,1
1000043027,EA,EA,1
1000043028,EA,EA,1
1000043029,EA,EA,1
1000043030,EA,EA,1
1000043031,EA,EA,1
1000043032,EA,EA,1
1000043033,EA,EA,1
1000043034,EA,EA,1
1000043035,EA,EA,1
1000043036,EA,EA,1
1000043037,EA,EA,1
1000043038,EA,EA,1
1000043040,EA,EA,1
1000043042,EA,EA,1
1000043043,EA,EA,1
1000043044,EA,EA,1
1000043045,EA,EA,1
1000043046,EA,EA,1
1000043047,EA,EA,1
1000043048,EA,EA,1
1000043049,EA,EA,1
1000043050,EA,EA,1
1000043051,EA,EA,1
1000043052,EA,EA,1
1000043053,EA,EA,1
1000043054,EA,EA,1
1000043055,EA,EA,1
1000043056,EA,EA,1
1000043057,EA,EA,1
1000043058,EA,EA,1
1000043059,EA,EA,1
1000043060,EA,EA,1
1000043061,EA,EA,1
1000043062,EA,EA,1
1000043063,EA,EA,1
1000043064,EA,EA,1
1000043065,EA,EA,1
1000043066,EA,EA,1
1000043067,EA,EA,1
1000043068,EA,EA,1
1000043069,EA,EA,1
1000043070,EA,EA,1
1000043072,EA,EA,1
1000043073,EA,EA,1
1000043074,EA,EA,1
1000043075,EA,EA,1
1000043076,EA,EA,1
1000043077,EA,EA,1
1000043078,EA,EA,1
1000043079,EA,EA,1
1000043080,EA,EA,1
1000043081,EA,EA,1
1000043082,EA,EA,1
1000043083,EA,EA,1
1000043084,EA,EA,1
1000043085,EA,EA,1
1000043086,EA,EA,1
1000043087,EA,EA,1
1000043088,EA,EA,1
1000043089,EA,EA,1
1000043090,EA,EA,1
1000043091,EA,EA,1
1000043092,EA,EA,1
1000043093,EA,EA,1
1000043094,EA,EA,1
1000043095,EA,EA,1
1000043096,EA,EA,1
1000043097,EA,EA,1
1000043098,EA,EA,1
1000043099,EA,EA,1
1000043100,EA,EA,1
1000043101,EA,EA,1
1000043102,EA,EA,1
1000043104,EA,EA,1
1000043105,EA,EA,1
1000043106,EA,EA,1
1000043107,EA,EA,1
1000043108,EA,EA,1
1000043109,EA,EA,1
1000043110,EA,EA,1
1000043111,EA,EA,1
1000043112,EA,EA,1
1000043113,EA,EA,1
1000043114,EA,EA,1
1000043115,EA,EA,1
1000043116,EA,EA,1
1000043119,EA,EA,1
1000043121,EA,EA,1
1000043122,EA,EA,1
1000043123,EA,EA,1
1000043124,EA,EA,1
1000043126,EA,EA,1
1000043127,EA,EA,1
1000043128,EA,EA,1
1000043129,SET,SET,1
1000043130,EA,EA,1
1000043131,EA,EA,1
1000043132,EA,EA,1
1000043133,EA,EA,1
1000043134,EA,EA,1
1000043135,EA,EA,1
1000043136,EA,EA,1
1000043137,EA,EA,1
1000043138,EA,EA,1
1000043139,EA,EA,1
1000043140,EA,EA,1
1000043141,EA,EA,1
1000043142,EA,EA,1
1000043143,EA,EA,1
1000043144,EA,EA,1
1000043145,EA,EA,1
1000043146,EA,EA,1
1000043147,EA,EA,1
1000043148,EA,EA,1
1000043149,EA,EA,1
1000043150,EA,EA,1
1000043151,EA,EA,1
1000043152,EA,EA,1
1000043153,EA,EA,1
1000043154,EA,EA,1
1000043155,FT2,FT2,1
1000043156,EA,EA,1
1000043157,EA,EA,1
1000043158,EA,EA,1
1000043159,EA,EA,1
1000043160,EA,EA,1
1000043161,EA,EA,1
1000043162,EA,EA,1
1000043163,EA,EA,1
1000043164,EA,EA,1
1000043165,EA,EA,1
1000043166,EA,EA,1
1000043167,EA,EA,1
1000043168,EA,EA,1
1000043169,EA,EA,1
1000043170,EA,EA,1
1000043171,EA,EA,1
1000043172,EA,EA,1
1000043173,EA,EA,1
1000043174,EA,EA,1
1000043175,EA,EA,1
1000043176,EA,EA,1
1000043177,EA,EA,1
1000043178,EA,EA,1
1000043179,EA,EA,1
1000043180,EA,EA,1
1000043181,EA,EA,1
1000043182,EA,EA,1
1000043183,EA,EA,1
1000043184,EA,EA,1
1000043185,EA,EA,1
1000043186,EA,EA,1
1000043187,EA,EA,1
1000043188,EA,EA,1
1000043189,EA,EA,1
1000043190,EA,EA,1
1000043191,EA,EA,1
1000043192,EA,EA,1
1000043193,EA,EA,1
1000043194,EA,EA,1
1000043195,EA,EA,1
1000043196,EA,EA,1
1000043197,EA,EA,1
1000043198,EA,EA,1
1000043199,EA,EA,1
1000043200,EA,EA,1
1000043201,EA,EA,1
1000043202,EA,EA,1
1000043203,EA,EA,1
1000043204,EA,EA,1
1000043205,EA,EA,1
1000043206,SET,SET,1
1000043207,EA,EA,1
1000043208,EA,EA,1
1000043209,EA,EA,1
1000043210,EA,EA,1
1000043211,EA,EA,1
1000043212,DR,DR,1
1000043213,EA,EA,1
1000043214,EA,EA,1
1000043215,EA,EA,1
1000043216,EA,EA,1
1000043217,EA,EA,1
1000043218,EA,EA,1
1000043219,EA,EA,1
1000043220,EA,EA,1
1000043221,EA,EA,1
1000043222,EA,EA,1
1000043223,EA,EA,1
1000043224,EA,EA,1
1000043225,EA,EA,1
1000043226,EA,EA,1
1000043227,EA,EA,1
1000043228,EA,EA,1
1000043229,EA,EA,1
1000043230,EA,EA,1
1000043231,EA,EA,1
1000043232,EA,EA,1
1000043233,EA,EA,1
1000043234,EA,EA,1
1000043235,SET,SET,1
1000043236,EA,EA,1
1000043237,EA,EA,1
1000043238,EA,EA,1
1000043239,EA,EA,1
1000043240,EA,EA,1
1000043241,EA,EA,1
1000043242,EA,EA,1
1000043243,EA,EA,1
1000043245,EA,EA,1
1000043246,EA,EA,1
1000043247,EA,EA,1
1000043248,EA,EA,1
1000043249,EA,EA,1
1000043250,EA,EA,1
1000043251,EA,EA,1
1000043252,EA,EA,1
1000043253,EA,EA,1
1000043254,EA,EA,1
1000043255,EA,EA,1
1000043256,EA,EA,1
1000043257,EA,EA,1
1000043258,EA,EA,1
1000043259,EA,EA,1
1000043260,EA,EA,1
1000043261,EA,EA,1
1000043262,EA,EA,1
1000043263,EA,EA,1
1000043264,EA,EA,1
1000043265,EA,EA,1
1000043266,EA,EA,1
1000043267,EA,EA,1
1000043268,EA,EA,1
1000043269,EA,EA,1
1000043270,EA,EA,1
1000043271,EA,EA,1
1000043272,EA,EA,1
1000043273,EA,EA,1
1000043274,EA,EA,1
1000043275,EA,EA,1
1000043276,EA,EA,1
1000043277,EA,EA,1
1000043278,EA,EA,1
1000043279,EA,EA,1
1000043280,EA,EA,1
1000043281,EA,EA,1
1000043282,EA,EA,1
1000043283,EA,EA,1
1000043284,EA,EA,1
1000043285,EA,EA,1
1000043286,EA,EA,1
1000043287,EA,EA,1
1000043288,EA,EA,1
1000043289,EA,EA,1
1000043290,EA,EA,1
1000043291,EA,EA,1
1000043292,EA,EA,1
1000043293,EA,EA,1
1000043294,EA,EA,1
1000043295,SET,SET,1
1000043296,EA,EA,1
1000043297,EA,EA,1
1000043298,EA,EA,1
1000043299,KG,KG,1
1000043300,EA,EA,1
1000043301,EA,EA,1
1000043302,EA,EA,1
1000043303,EA,EA,1
1000043304,EA,EA,1
1000043305,EA,EA,1
1000043306,EA,EA,1
1000043307,EA,EA,1
1000043308,EA,EA,1
1000043309,EA,EA,1
1000043311,EA,EA,1
1000043312,EA,EA,1
1000043313,EA,EA,1
1000043314,EA,EA,1
1000043315,EA,EA,1
1000043316,EA,EA,1
1000043317,EA,EA,1
1000043318,EA,EA,1
1000043319,EA,EA,1
1000043320,EA,EA,1
1000043321,EA,EA,1
1000043322,EA,EA,1
1000043323,EA,EA,1
1000043324,EA,EA,1
1000043325,EA,EA,1
1000043326,EA,EA,1
1000043327,EA,EA,1
1000043328,EA,EA,1
1000043329,EA,EA,1
1000043330,EA,EA,1
1000043331,EA,EA,1
1000043332,EA,EA,1
1000043333,EA,EA,1
1000043334,EA,EA,1
1000043335,EA,EA,1
1000043336,EA,EA,1
1000043337,EA,EA,1
1000043338,EA,EA,1
1000043339,EA,EA,1
1000043340,EA,EA,1
1000043341,EA,EA,1
1000043342,EA,EA,1
1000043343,EA,EA,1
1000043344,EA,EA,1
1000043345,EA,EA,1
1000043346,EA,EA,1
1000043347,EA,EA,1
1000043348,EA,EA,1
1000043349,EA,EA,1
1000043350,EA,EA,1
1000043352,EA,EA,1
1000043353,EA,EA,1
1000043354,EA,EA,1
1000043355,EA,EA,1
1000043358,EA,EA,1
1000043361,EA,EA,1
1000043363,EA,EA,1
1000043364,EA,EA,1
1000043365,EA,EA,1
1000043366,EA,EA,1
1000043368,EA,EA,1
1000043369,EA,EA,1
1000043372,EA,EA,1
1000043373,EA,EA,1
1000043374,EA,EA,1
1000043375,EA,EA,1
1000043378,EA,EA,1
1000043379,EA,EA,1
1000043380,EA,EA,1
1000043381,EA,EA,1
1000043383,EA,EA,1
1000043384,EA,EA,1
1000043386,EA,EA,1
1000043387,EA,EA,1
1000043389,EA,EA,1
1000043390,EA,EA,1
1000043391,EA,EA,1
1000043392,EA,EA,1
1000043393,EA,EA,1
1000043394,EA,EA,1
1000043395,EA,EA,1
1000043396,EA,EA,1
1000043397,EA,EA,1
1000043398,EA,EA,1
1000043399,EA,EA,1
1000043400,EA,EA,1
1000043401,EA,EA,1
1000043402,SET,SET,1
1000043403,SET,SET,1
1000043404,EA,EA,1
1000043405,EA,EA,1
1000043406,EA,EA,1
1000043407,EA,EA,1
1000043408,EA,EA,1
1000043409,EA,EA,1
1000043410,EA,EA,1
1000043411,EA,EA,1
1000043412,EA,EA,1
1000043413,EA,EA,1
1000043414,EA,EA,1
1000043415,EA,EA,1
1000043416,EA,EA,1
1000043417,EA,EA,1
1000043418,EA,EA,1
1000043419,EA,EA,1
1000043420,EA,EA,1
1000043421,EA,EA,1
1000043422,EA,EA,1
1000043423,EA,EA,1
1000043424,EA,EA,1
1000043425,EA,EA,1
1000043426,EA,EA,1
1000043427,EA,EA,1
1000043428,EA,EA,1
1000043429,EA,EA,1
1000043430,EA,EA,1
1000043431,EA,EA,1
1000043432,EA,EA,1
1000043433,EA,EA,1
1000043435,EA,EA,1
1000043436,EA,EA,1
1000043437,EA,EA,1
1000043438,EA,EA,1
1000043439,EA,EA,1
1000043440,EA,EA,1
1000043442,EA,EA,1
1000043443,EA,EA,1
1000043444,EA,EA,1
1000043450,EA,EA,1
1000043451,EA,EA,1
1000043455,EA,EA,1
1000043456,EA,EA,1
1000043458,EA,EA,1
1000043459,EA,EA,1
1000043461,EA,EA,1
1000043463,EA,EA,1
1000043465,EA,EA,1
1000043468,EA,EA,1
1000043469,EA,EA,1
1000043470,EA,EA,1
1000043471,EA,EA,1
1000043472,EA,EA,1
1000043473,EA,EA,1
1000043474,EA,EA,1
1000043475,EA,EA,1
1000043476,EA,EA,1
1000043477,EA,EA,1
1000043478,EA,EA,1
1000043479,EA,EA,1
1000043480,EA,EA,1
1000043481,EA,EA,1
1000043482,EA,EA,1
1000043483,EA,EA,1
1000043484,EA,EA,1
1000043485,EA,EA,1
1000043486,EA,EA,1
1000043487,EA,EA,1
1000043488,EA,EA,1
1000043489,EA,EA,1
1000043490,EA,EA,1
1000043491,EA,EA,1
1000043492,EA,EA,1
1000043493,EA,EA,1
1000043494,EA,EA,1
1000043495,EA,EA,1
1000043496,EA,EA,1
1000043497,EA,EA,1
1000043498,EA,EA,1
1000043499,EA,EA,1
1000043500,EA,EA,1
1000043501,EA,EA,1
1000043502,EA,EA,1
1000043503,SET,SET,1
1000043504,EA,EA,1
1000043505,EA,EA,1
1000043506,EA,EA,1
1000043507,EA,EA,1
1000043508,EA,EA,1
1000043510,L,L,1
1000043511,DR,DR,1
1000043512,EA,EA,1
1000043517,EA,EA,1
1000043518,EA,EA,1
1000043519,EA,EA,1
1000043520,EA,EA,1
1000043522,EA,EA,1
1000043523,EA,EA,1
1000043524,EA,EA,1
1000043526,EA,EA,1
1000043528,EA,EA,1
1000043530,EA,EA,1
1000043531,EA,EA,1
1000043532,EA,EA,1
1000043533,EA,EA,1
1000043534,EA,EA,1
1000043535,EA,EA,1
1000043536,EA,EA,1
1000043537,EA,EA,1
1000043538,EA,EA,1
1000043539,EA,EA,1
1000043540,EA,EA,1
1000043541,EA,EA,1
1000043542,EA,EA,1
1000043543,EA,EA,1
1000043544,EA,EA,1
1000043545,EA,EA,1
1000043546,EA,EA,1
1000043547,EA,EA,1
1000043548,EA,EA,1
1000043551,EA,EA,1
1000043552,EA,EA,1
1000043553,EA,EA,1
1000043554,EA,EA,1
1000043555,EA,EA,1
1000043558,EA,EA,1
1000043559,EA,EA,1
1000043560,EA,EA,1
1000043561,EA,EA,1
1000043563,EA,EA,1
1000043564,EA,EA,1
1000043566,EA,EA,1
1000043567,EA,EA,1
1000043568,EA,EA,1
1000043569,EA,EA,1
1000043570,EA,EA,1
1000043571,EA,EA,1
1000043572,EA,EA,1
1000043573,EA,EA,1
1000043574,EA,EA,1
1000043575,EA,EA,1
1000043576,EA,EA,1
1000043577,EA,EA,1
1000043578,EA,EA,1
1000043579,EA,EA,1
1000043580,EA,EA,1
1000043581,EA,EA,1
1000043582,EA,EA,1
1000043583,EA,EA,1
1000043584,EA,EA,1
1000043585,EA,EA,1
1000043586,EA,EA,1
1000043587,EA,EA,1
1000043588,EA,EA,1
1000043589,EA,EA,1
1000043590,EA,EA,1
1000043591,EA,EA,1
1000043592,EA,EA,1
1000043593,EA,EA,1
1000043594,EA,EA,1
1000043595,EA,EA,1
1000043597,EA,EA,1
1000043598,EA,EA,1
1000043599,EA,EA,1
1000043600,EA,EA,1
1000043601,EA,EA,1
1000043602,EA,EA,1
1000043603,EA,EA,1
1000043605,EA,EA,1
1000043606,EA,EA,1
1000043607,EA,EA,1
1000043608,EA,EA,1
1000043609,EA,EA,1
1000043610,ROL,ROL,1
1000043611,EA,EA,1
1000043612,EA,EA,1
1000043613,EA,EA,1
1000043614,EA,EA,1
1000043615,EA,EA,1
1000043616,EA,EA,1
1000043617,EA,EA,1
1000043618,EA,EA,1
1000043619,EA,EA,1
1000043620,EA,EA,1
1000043621,EA,EA,1
1000043622,EA,EA,1
1000043623,EA,EA,1
1000043624,EA,EA,1
1000043625,EA,EA,1
1000043626,EA,EA,1
1000043629,EA,EA,1
1000043630,EA,EA,1
1000043631,EA,EA,1
1000043632,EA,EA,1
1000043634,EA,EA,1
1000043635,EA,EA,1
1000043636,EA,EA,1
1000043637,EA,EA,1
1000043638,EA,EA,1
1000043639,EA,EA,1
1000043640,EA,EA,1
1000043642,EA,EA,1
1000043643,EA,EA,1
1000043644,EA,EA,1
1000043645,EA,EA,1
1000043646,EA,EA,1
1000043647,EA,EA,1
1000043648,EA,EA,1
1000043649,EA,EA,1
1000043650,EA,EA,1
1000043651,EA,EA,1
1000043652,EA,EA,1
1000043653,EA,EA,1
1000043654,EA,EA,1
1000043655,EA,EA,1
1000043656,EA,EA,1
1000043657,EA,EA,1
1000043658,EA,EA,1
1000043659,EA,EA,1
1000043660,EA,EA,1
1000043661,EA,EA,1
1000043662,EA,EA,1
1000043663,EA,EA,1
1000043664,EA,EA,1
1000043665,EA,EA,1
1000043666,EA,EA,1
1000043667,EA,EA,1
1000043668,EA,EA,1
1000043669,EA,EA,1
1000043670,EA,EA,1
1000043671,EA,EA,1
1000043672,EA,EA,1
1000043673,EA,EA,1
1000043675,EA,EA,1
1000043676,EA,EA,1
1000043677,EA,EA,1
1000043678,EA,EA,1
1000043679,EA,EA,1
1000043680,EA,EA,1
1000043681,EA,EA,1
1000043682,EA,EA,1
1000043683,EA,EA,1
1000043684,EA,EA,1
1000043685,EA,EA,1
1000043686,EA,EA,1
1000043687,EA,EA,1
1000043688,EA,EA,1
1000043689,EA,EA,1
1000043690,EA,EA,1
1000043691,EA,EA,1
1000043692,EA,EA,1
1000043693,EA,EA,1
1000043694,EA,EA,1
1000043695,EA,EA,1
1000043696,EA,EA,1
1000043697,EA,EA,1
1000043698,EA,EA,1
1000043699,EA,EA,1
1000043700,EA,EA,1
1000043701,EA,EA,1
1000043702,EA,EA,1
1000043703,EA,EA,1
1000043704,EA,EA,1
1000043705,EA,EA,1
1000043706,EA,EA,1
1000043707,EA,EA,1
1000043708,EA,EA,1
1000043709,EA,EA,1
1000043710,EA,EA,1
1000043711,EA,EA,1
1000043712,EA,EA,1
1000043713,EA,EA,1
1000043714,EA,EA,1
1000043715,EA,EA,1
1000043716,EA,EA,1
1000043717,EA,EA,1
1000043718,EA,EA,1
1000043719,EA,EA,1
1000043720,EA,EA,1
1000043721,EA,EA,1
1000043722,EA,EA,1
1000043723,EA,EA,1
1000043724,EA,EA,1
1000043725,EA,EA,1
1000043726,EA,EA,1
1000043727,EA,EA,1
1000043728,EA,EA,1
1000043729,EA,EA,1
1000043730,EA,EA,1
1000043731,EA,EA,1
1000043732,EA,EA,1
1000043734,EA,EA,1
1000043735,EA,EA,1
1000043737,EA,EA,1
1000043738,EA,EA,1
1000043739,EA,EA,1
1000043740,EA,EA,1
1000043741,EA,EA,1
1000043742,EA,EA,1
1000043745,EA,EA,1
1000043746,EA,EA,1
1000043748,EA,EA,1
1000043749,EA,EA,1
1000043750,EA,EA,1
1000043751,EA,EA,1
1000043752,EA,EA,1
1000043755,EA,EA,1
1000043756,EA,EA,1
1000043757,EA,EA,1
1000043758,EA,EA,1
1000043759,EA,EA,1
1000043761,EA,EA,1
1000043764,EA,EA,1
1000043765,EA,EA,1
1000043766,EA,EA,1
1000043768,EA,EA,1
1000043769,EA,EA,1
1000043770,EA,EA,1
1000043771,EA,EA,1
1000043772,EA,EA,1
1000043773,EA,EA,1
1000043774,EA,EA,1
1000043775,EA,EA,1
1000043776,EA,EA,1
1000043777,EA,EA,1
1000043778,EA,EA,1
1000043779,EA,EA,1
1000043782,EA,EA,1
1000043783,EA,EA,1
1000043784,EA,EA,1
1000043785,EA,EA,1
1000043786,EA,EA,1
1000043787,EA,EA,1
1000043788,EA,EA,1
1000043789,EA,EA,1
1000043790,EA,EA,1
1000043791,EA,EA,1
1000043792,EA,EA,1
1000043793,EA,EA,1
1000043794,EA,EA,1
1000043795,EA,EA,1
1000043796,EA,EA,1
1000043797,EA,EA,1
1000043798,EA,EA,1
1000043799,EA,EA,1
1000043800,EA,EA,1
1000043802,EA,EA,1
1000043804,EA,EA,1
1000043805,EA,EA,1
1000043806,EA,EA,1
1000043807,EA,EA,1
1000043808,EA,EA,1
1000043809,EA,EA,1
1000043810,EA,EA,1
1000043812,EA,EA,1
1000043813,EA,EA,1
1000043814,EA,EA,1
1000043815,EA,EA,1
1000043816,EA,EA,1
1000043817,EA,EA,1
1000043819,EA,BOX,6
1000043819,EA,EA,1
1000043819,EA,M,0.25
1000043822,EA,EA,1
1000043823,EA,EA,1
1000043824,EA,EA,1
1000043825,EA,EA,1
1000043827,EA,EA,1
1000043828,EA,EA,1
1000043829,EA,EA,1
1000043830,EA,EA,1
1000043831,EA,EA,1
1000043832,EA,EA,1
1000043833,EA,EA,1
1000043834,EA,EA,1
1000043835,EA,EA,1
1000043836,EA,EA,1
1000043837,EA,EA,1
1000043838,EA,EA,1
1000043840,EA,EA,1
1000043841,EA,EA,1
1000043842,EA,EA,1
1000043843,EA,EA,1
1000043844,EA,EA,1
1000043845,EA,EA,1
1000043848,EA,EA,1
1000043849,EA,EA,1
1000043851,EA,EA,1
1000043853,EA,EA,1
1000043855,EA,EA,1
1000043856,EA,EA,1
1000043857,EA,EA,1
1000043858,EA,EA,1
1000043859,EA,EA,1
1000043860,EA,EA,1
1000043861,EA,EA,1
1000043862,EA,EA,1
1000043863,EA,EA,1
1000043864,EA,EA,1
1000043865,EA,EA,1
1000043866,EA,EA,1
1000043867,EA,EA,1
1000043868,EA,EA,1
1000043869,EA,EA,1
1000043870,EA,EA,1
1000043871,EA,EA,1
1000043872,EA,EA,1
1000043873,EA,EA,1
1000043874,EA,EA,1
1000043875,EA,EA,1
1000043876,EA,EA,1
1000043877,EA,EA,1
1000043878,EA,EA,1
1000043879,EA,EA,1
1000043880,EA,EA,1
1000043881,EA,EA,1
1000043882,EA,EA,1
1000043883,EA,EA,1
1000043885,EA,EA,1
1000043886,EA,EA,1
1000043887,EA,EA,1
1000043888,EA,EA,1
1000043889,EA,EA,1
1000043890,EA,EA,1
1000043892,EA,EA,1
1000043894,EA,EA,1
1000043895,EA,EA,1
1000043896,EA,EA,1
1000043897,EA,EA,1
1000043898,EA,EA,1
1000043900,EA,EA,1
1000043901,EA,EA,1
1000043902,EA,EA,1
1000043903,EA,EA,1
1000043904,EA,EA,1
1000043905,EA,EA,1
1000043907,EA,EA,1
1000043908,EA,EA,1
1000043909,EA,EA,1
1000043910,EA,EA,1
1000043911,EA,EA,1
1000043912,EA,EA,1
1000043913,EA,EA,1
1000043915,EA,EA,1
1000043916,EA,EA,1
1000043918,EA,EA,1
1000043919,EA,EA,1
1000043920,EA,EA,1
1000043921,EA,EA,1
1000043922,EA,EA,1
1000043923,EA,EA,1
1000043927,EA,EA,1
1000043928,EA,EA,1
1000043929,EA,EA,1
1000043933,EA,EA,1
1000043934,EA,EA,1
1000043935,EA,EA,1
1000043936,EA,EA,1
1000043937,EA,EA,1
1000043938,EA,EA,1
1000043939,EA,EA,1
1000043940,EA,EA,1
1000043941,EA,EA,1
1000043943,EA,EA,1
1000043944,EA,EA,1
1000043945,EA,EA,1
1000043947,EA,EA,1
1000043948,EA,EA,1
1000043949,EA,EA,1
1000043950,EA,EA,1
1000043951,EA,EA,1
1000043952,EA,EA,1
1000043953,EA,EA,1
1000043954,EA,EA,1
1000043955,EA,EA,1
1000043956,EA,EA,1
1000043957,EA,EA,1
1000043958,EA,EA,1
1000043959,EA,EA,1
1000043961,EA,EA,1
1000043962,EA,EA,1
1000043965,EA,EA,1
1000043966,EA,EA,1
1000043967,EA,EA,1
1000043968,EA,EA,1
1000043969,EA,EA,1
1000043970,EA,EA,1
1000043972,EA,EA,1
1000043973,EA,EA,1
1000043974,EA,EA,1
1000043975,EA,EA,1
1000043976,EA,EA,1
1000043977,EA,EA,1
1000043978,EA,EA,1
1000043979,EA,EA,1
1000043980,EA,EA,1
1000043981,EA,EA,1
1000043982,EA,EA,1
1000043983,EA,EA,1
1000043984,EA,EA,1
1000043985,EA,EA,1
1000043986,EA,EA,1
1000043987,EA,EA,1
1000043988,EA,EA,1
1000043989,EA,EA,1
1000043992,EA,EA,1
1000043993,EA,EA,1
1000043994,EA,EA,1
1000043995,EA,EA,1
1000043996,EA,EA,1
1000043997,EA,EA,1
1000043998,EA,EA,1
1000043999,EA,EA,1
1000044001,EA,EA,1
1000044002,EA,EA,1
1000044003,EA,EA,1
1000044004,EA,EA,1
1000044005,EA,EA,1
1000044006,EA,EA,1
1000044007,EA,EA,1
1000044008,EA,EA,1
1000044009,EA,EA,1
1000044010,EA,EA,1
1000044011,EA,EA,1
1000044012,EA,EA,1
1000044013,EA,EA,1
1000044014,LB,LB,1
1000044014,LB,ROL,25
1000044015,EA,EA,1
1000044016,EA,EA,1
1000044017,EA,EA,1
1000044018,EA,EA,1
1000044019,EA,EA,1
1000044020,EA,EA,1
1000044021,EA,EA,1
1000044022,EA,EA,1
1000044023,EA,EA,1
1000044024,EA,EA,1
1000044025,EA,EA,1
1000044026,EA,EA,1
1000044027,EA,EA,1
1000044028,EA,EA,1
1000044029,EA,EA,1
1000044030,EA,EA,1
1000044031,EA,EA,1
1000044032,EA,EA,1
1000044032,EA,ROL,1
1000044033,FT2,FT2,1
1000044034,EA,EA,1
1000044035,EA,EA,1
1000044036,EA,EA,1
1000044037,EA,EA,1
1000044038,EA,EA,1
1000044039,EA,EA,1
1000044040,EA,EA,1
1000044041,EA,EA,1
1000044044,EA,EA,1
1000044045,EA,EA,1
1000044046,EA,EA,1
1000044047,EA,EA,1
1000044048,EA,EA,1
1000044049,EA,EA,1
1000044050,EA,EA,1
1000044051,EA,EA,1
1000044052,EA,EA,1
1000044053,EA,EA,1
1000044054,EA,EA,1
1000044055,EA,EA,1
1000044056,EA,EA,1
1000044057,EA,EA,1
1000044058,EA,EA,1
1000044059,EA,EA,1
1000044060,EA,EA,1
1000044061,EA,EA,1
1000044062,EA,EA,1
1000044063,EA,EA,1
