Material,StandardUnit,ToUnit,Factor
100604,TO,KG,0.001
100604,TO,M15,1
100604,TO,TO,1
100605,L15,KG,1.333333333
100605,L15,L15,1
100605,L15,M15,1000
100606,L15,KG,1.123595506
100606,L15,L15,1
100606,L15,M15,1000
100607,UG6,BB6,42
100607,UG6,L15,0.264172052
100607,UG6,LB,0.161290323
100607,UG6,M15,264.172043
100607,UG6,STO,322.5809129
100607,UG6,UG6,1
100608,SM3,KG,1
100608,SM3,SM3,1
100609,L15,KG,1.333333333
100609,L15,L15,1
100609,L15,M15,1000
100616,L15,KG,1.145475372
100616,L15,L,1
100616,L15,L15,1
100616,L15,M15,1000
100619,L15,KG,1.25
100619,L15,L,1
100619,L15,L15,1
100619,L15,M15,1000
100621,L15,KG,1
100621,L15,L,1
100621,L15,L15,1
100621,L15,M15,1000
100652,L15,KG,1.25
100652,L15,L,1
100652,L15,L15,1
100652,L15,M15,1000
100663,L15,KG,1.176470588
100663,L15,L,1
100663,L15,L15,1
100663,L15,M15,1000
100672,L15,KG,1.176470588
100672,L15,L,1
100672,L15,L15,1
100672,L15,M15,1000
100673,L15,KG,1.176470588
100673,L15,L,1
100673,L15,L15,1
100673,L15,M15,1000
100674,L15,KG,1.176470588
100674,L15,L,1
100674,L15,L15,1
100674,L15,M15,1000
100675,L15,KG,1.176470588
100675,L15,L,1
100675,L15,L15,1
100675,L15,M15,1000
100678,L15,KG,1.176470588
100678,L15,L,1
100678,L15,L15,1
100678,L15,M15,1000
100891,EA,EA,1
100892,EA,EA,1
100941,L15,KG,1.176470588
100941,L15,L15,1
100941,L15,M15,1000
101061,L15,KG,1.148105626
101061,L15,L15,1
101061,L15,M15,1000
101073,L15,KG,1.086956522
101073,L15,L15,1
101073,L15,M15,1000
101075,L15,KG,1.145475372
101075,L15,L15,1
101075,L15,M15,1000
101141,L15,BBL,158.9872958
101141,L15,KG,1.008064516
101141,L15,L15,1
101141,L15,M15,1000
101183,L15,KG,1.145475372
101183,L15,L15,1
101183,L15,M15,1000
101201,L15,KG,1.25
101201,L15,L15,1
101201,L15,M15,1000
101807,L15,KG,1.127395716
101807,L15,L,1
101807,L15,L15,1
101807,L15,M15,1000
101866,L15,KG,1.233045623
101866,L15,L,1
101866,L15,L15,1
101866,L15,M15,1000
101891,L15,KG,1.176470588
101891,L15,L,1
101891,L15,L15,1
101891,L15,M15,1000
101983,L15,KG,1.176470588
101983,L15,L,1
101983,L15,L15,1
101983,L15,M15,1000
102182,GJ,BBL,1
102182,GJ,GJ,1
102182,GJ,KG,1
102182,GJ,KM3,6289.8
102182,GJ,M15,6.289810771
102182,GJ,MWH,3.6
102246,L15,KG,1.136363636
102246,L15,L15,1
102246,L15,M15,1000
102393,L15,KG,1.08577633
102393,L15,L,1
102393,L15,L15,1
102393,L15,M15,1000
102394,L15,KG,1.161440186
102394,L15,L,1
102394,L15,L15,1
102394,L15,M15,1000
102396,L15,KG,1.156069364
102396,L15,L,1
102396,L15,L15,1
102396,L15,M15,1000
102397,L15,KG,1.086956522
102397,L15,L,1
102397,L15,L15,1
102397,L15,M15,1000
102398,L15,KG,1.385041551
102398,L15,L,1
102398,L15,L15,1
102398,L15,M15,1000
102399,L15,KG,1.136363636
102399,L15,L,1
102399,L15,L15,1
102399,L15,M15,1000
102400,L15,KG,1.136363636
102400,L15,L,1
102400,L15,L15,1
102400,L15,M15,1000
102401,L15,KG,1.063829787
102401,L15,L,1
102401,L15,L15,1
102401,L15,M15,1000
102402,L15,KG,1.069518717
102402,L15,L,1
102402,L15,L15,1
102402,L15,M15,1000
102403,L15,KG,1.123595506
102403,L15,L,1
102403,L15,L15,1
102403,L15,M15,1000
102404,L15,KG,1.069518717
102404,L15,L,1
102404,L15,L15,1
102404,L15,M15,1000
102405,L15,KG,1.086956522
102405,L15,L,1
102405,L15,L15,1
102405,L15,M15,1000
102406,L15,KG,1.145475372
102406,L15,L,1
102406,L15,L15,1
102406,L15,M15,1000
102407,L15,KG,1.107419712
102407,L15,L,1
102407,L15,L15,1
102407,L15,M15,1000
102408,L15,KG,1.148105626
102408,L15,L,1
102408,L15,L15,1
